Time [s],Velocity [km/h],Elevation [m],Throttle [%],Motor Torque [Nm],Longitudinal Acceleration [m/s^2],Regenerative Braking Signal,Battery Voltage [V],Battery Current [A],Battery Temperature [�C]
0,0,574,0,0,-0.03,,391.4,-2.2,21
0.1,0,574,0,0,0,,391.4,-2.21,21
0.2,0,574,0,0,-0.01,,391.4,-2.26,21
0.3,0,574,0,0,-0.03,,391.4,-2.3,21
0.4,0,574,0,0,-0.03,,391.4,-2.3,21
0.5,0,574,0,0,-0.01,,391.4,-2.3,21
0.6,0,574,0,0,-0.01,,391.4,-2.3,21
0.7,0,574,0,0,-0.03,,391.4,-2.31,21
0.8,0,574,0,0.38,-0.01,,391.4,-2.36,21
0.9,0,574,0,0.12,-0.01,,391.4,-2.37,21
1,0,574,0,0.38,0.01,,391.4,-2.27,21
1.1,0,574,0,0,-0.02,,391.4,-2.21,21
1.2,0,574,0,0,-0.03,,391.4,-2.26,21
1.3,0,574,0,0,-0.01,,391.4,-2.33,21
1.4,0,574,0,0,0.02,,391.4,-2.43,21
1.5,0,574,0,0,0,,391.39,-2.54,21
1.6,0,574,0,0,-0.03,,391.34,-2.69,21
1.7,0,574,0,0,-0.01,,391.3,-2.83,21
1.8,0,574,0,0.23,-0.03,,391.3,-2.93,21
1.9,0,574,0,0.23,-0.03,,391.3,-3.03,21
2,0,574,0,0.77,-0.03,,391.3,-3.13,21
2.1,0,574,0,0.62,-0.05,,391.3,-3.19,21
2.2,0,574,1.35,0.23,-0.03,,391.3,-3.14,21
2.3,0,574,4.47,1.5,0.04,,391.3,-3.1,21
2.4,0,574,6.07,3.88,0,,391.3,-3.1,21
2.5,0,574,8.79,5.5,-0.03,,391.3,-3.17,21
2.6,0,574,12.21,7.62,0.02,,391.3,-3.42,21
2.7,0,574,15.56,12.85,0.08,,391.29,-3.67,21
2.8,0,574,17.81,18.73,0.17,,391.24,-3.92,21
2.9,0,574,21.44,24.85,0.19,,391.2,-4.21,21
3,0,574,21.76,32.82,0.27,,391.2,-4.61,21
3.1,0,574,20.93,41.7,0.41,,391.19,-4.93,21
3.2,0.2,574,19.26,47.5,0.43,,391.14,-5.03,21
3.3,0.58,574,18.7,48.62,0.46,,391.1,-5.14,21
3.4,0.87,574,17.66,49.23,0.45,,391.1,-5.29,21
3.5,1,574,16.49,49.27,0.43,,391.1,-5.43,21
3.6,1.24,574,15.84,48,0.46,,391.1,-5.53,21
3.7,1.42,574,14.21,47.5,0.42,,391.1,-5.57,21
3.8,1.61,574,11.83,45.5,0.39,,391.1,-5.47,21
3.9,1.77,574,10.15,42.65,0.32,,391.11,-5.32,21
4,1.92,574,10.19,36.65,0.26,,391.16,-5.02,21
4.1,2.07,574,10.35,30.77,0.18,,391.2,-4.73,21
4.2,2.11,574,10.67,26,0.15,,391.2,-4.48,21
4.3,2.19,574,12.21,23.27,0.1,,391.2,-4.29,21
4.4,2.22,574,13.32,20.62,0.12,,391.2,-4.24,21
4.5,2.27,574,15.49,19.73,0.11,,391.2,-4.24,21
4.6,2.32,574,15.73,20.62,0.18,,391.2,-4.39,21
4.7,2.39,574,15.6,23,0.14,,391.2,-4.56,21
4.8,2.46,574,15.43,24.27,0.16,,391.2,-4.76,21
4.9,2.56,574,15.28,25.12,0.22,,391.2,-4.89,21
5,2.62,574,14.95,24.5,0.25,,391.2,-4.84,21
5.1,2.71,574,14.5,22.74,0.2,,391.2,-4.79,21
5.2,2.78,574,14.53,21.62,0.24,,391.2,-4.74,21
5.3,2.88,574,14.63,21.12,0.18,,391.2,-4.69,21
5.4,2.94,574,14.63,20.5,0.2,,391.2,-4.64,21
5.5,3,574,14.63,18.76,0.17,,391.2,-4.59,21
5.6,3.08,574,14.63,16.65,0.15,,391.2,-4.54,21
5.7,3.14,574,14.63,15.12,0.17,,391.2,-4.46,21
5.8,3.19,574,14.63,15.5,0.15,,391.2,-4.31,21
5.9,3.25,574,14.5,14.15,0.2,,391.2,-4.16,21
6,3.3,574,14.5,12.24,0.14,,391.2,-4.01,21
6.1,3.33,574,14.5,11.76,0.13,,391.2,-3.87,21
6.2,3.36,574,14.5,10.74,0.11,,391.2,-3.77,21
6.3,3.39,574,14.63,9.38,0.06,,391.21,-3.67,21
6.4,3.42,574,14.8,8,0.03,,391.26,-3.57,21
6.5,3.42,574,14.95,7.88,0.05,,391.3,-3.47,21
6.6,3.45,574,15.28,6.62,0.05,,391.3,-3.37,21
6.7,3.45,574,16.49,6.53,0.08,,391.3,-3.3,21
6.8,3.47,574,18.59,4.47,0.02,,391.3,-3.3,21
6.9,3.47,574,20.26,6.38,0.06,,391.29,-3.45,21
7,3.48,574,20.7,11.09,0.09,,391.24,-4,21
7.1,3.53,574,20.7,15.62,0.21,,391.19,-4.5,21
7.2,3.61,574,20.55,20,0.26,,391.14,-4.85,21
7.3,3.71,574,20.7,21.5,0.34,,391.1,-5.16,21
7.4,3.82,574,20.67,22.97,0.35,,391.1,-5.36,21
7.5,3.92,574,20.7,23.74,0.33,,391.1,-5.53,21
7.6,4.04,574,21.18,24.47,0.31,,391.1,-5.63,21
7.7,4.16,574,22.69,25.74,0.33,,391.09,-5.81,21
7.8,4.29,574,24.4,27.12,0.4,,391.04,-6.21,21
7.9,4.44,574,25.06,30.12,0.48,,390.99,-6.65,21
8,4.6,574,25,34.74,0.51,,390.94,-7.2,21
8.1,4.81,574,24.69,36,0.54,,390.9,-7.64,21
8.2,4.99,574,24.25,37.36,0.55,,390.9,-7.79,21
8.3,5.2,574,23.95,37,0.53,,390.9,-7.8,21
8.4,5.38,574,23.14,35.38,0.49,,390.9,-7.45,21
8.5,5.55,574,22.73,32.03,0.39,,390.93,-7,21
8.6,5.69,574,22.4,26.03,0.3,,391.03,-6.3,21
8.7,5.8,574,22.4,19.86,0.22,,391.1,-5.66,21
8.8,5.88,574,22.4,16.76,0.17,,391.1,-5.16,21
8.9,5.94,574,22.73,14.76,0.13,,391.11,-4.72,21
9,6,574,22.9,11.24,0.06,,391.16,-4.42,21
9.1,6.05,574,23.87,10.26,0.05,,391.2,-4.14,21
9.2,6.08,574,25.21,8.62,0.07,,391.2,-3.94,21
9.3,6.09,574,25.35,7.12,0.07,,391.2,-3.76,21
9.4,6.13,574,25.35,7.12,0.05,,391.2,-3.61,21
9.5,6.14,574,25.18,4.88,-0.04,,391.21,-3.39,21
9.6,6.19,574,25.18,2.62,-0.03,,391.26,-2.99,21
9.7,6.16,574,25.35,1.26,-0.08,,391.3,-2.73,21
9.8,6.13,574,25.5,1,-0.04,,391.3,-2.83,21
9.9,6.11,574,26.04,1.5,-0.01,,391.3,-2.98,21
10,6.11,574,26.58,3.38,0.01,,391.3,-3.28,21
10.1,6.13,574,27.27,5.5,-0.02,,391.29,-3.53,21
10.2,6.13,574,28.45,4.88,0.02,,391.24,-3.63,21
10.3,6.14,574,28.45,7.12,0.06,,391.2,-3.76,21
10.4,6.19,574,28.45,7.88,0.07,,391.2,-3.96,21
10.5,6.22,574,28.28,8.74,0.05,,391.2,-4.14,21
10.6,6.3,574,28.28,11,0.13,,391.2,-4.29,21
10.7,6.36,574,28.31,10.5,0.11,,391.2,-4.37,21
10.8,6.42,574,28.45,9.38,0.04,,391.2,-4.27,21
10.9,6.46,574,28.48,9.88,0.06,,391.2,-4.17,21
11,6.51,574,28.6,9.38,0,,391.2,-4.07,21
11.1,6.57,574,28.93,8,0.06,,391.2,-4,21
11.2,6.61,574,28.93,7.62,0.09,,391.2,-4,21
